system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo,wind_speed,wind_dir_rad,plume_score_nov,plume_score_oct
111,,,0.0002527099536856,28.75,75.4,0.1296743518776364,-0.0363596922821468,"{""type"":""Point"",""coordinates"":[75.4,28.75]}",0.13467540517012552,1.844168790421163,1.1033631946947984,0.0
112,,,0.0002235316031591,28.75,75.55,0.0754313912656572,-0.0248776230547163,"{""type"":""Point"",""coordinates"":[75.55,28.749999999999993]}",0.07942789759980569,1.889367704941452,1.546295815866489,0.0
113,,,0.0002440325023292,28.75,75.7,0.0712301380104488,-0.0293511609236399,"{""type"":""Point"",""coordinates"":[75.7,28.75]}",0.07704039984678811,1.961656672596795,0.0,0.0
114,,,0.0002698251886388,28.75,75.85,0.0730381349722544,-0.0462975720564524,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.750000000000007]}",0.0864756285813966,2.135757344135826,0.0,0.0
115,,,0.0002511003651931,28.75,76.0,0.0855082955625322,-0.1049852483802372,"{""type"":""Point"",""coordinates"":[76.0,28.75]}",0.1354015176704806,2.4580851077958084,0.5411452980556843,0.0
116,,,0.0002212520618794,28.75,76.15,0.1170004016823238,-0.2138214435842302,"{""type"":""Point"",""coordinates"":[76.15,28.75]}",0.24373900740396326,2.640911385910516,2.487716231650886,0.0
117,,,0.0002294579911628,28.75,76.3,0.1687310874462128,-0.2621517929765912,"{""type"":""Point"",""coordinates"":[76.3,28.75]}",0.31175910962091075,2.569702225144365,3.850891334526373,0.0
118,,,0.000240388919707,28.75,76.45,0.3425931208663517,-0.3526103026337093,"{""type"":""Point"",""coordinates"":[76.45,28.749999999999993]}",0.49163408342829806,2.370602486848231,4.32549798481244,0.0
119,,,0.0002662078224739,28.75,76.6,0.4081781089305877,-0.3838830212752023,"{""type"":""Point"",""coordinates"":[76.6,28.75]}",0.5603352055988702,2.3255308561646437,6.01774000830336,0.0
120,,,0.0002697735428282,28.75,76.75,0.4507233427630531,-0.402610980802112,"{""type"":""Point"",""coordinates"":[76.75,28.75]}",0.6043567932719374,2.299872511318712,7.457131980910573,0.0
121,,,0.000299753352418,28.75,76.9,0.515944493479199,-0.4380988551510704,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.750000000000007]}",0.6768525151288025,2.2747793590750334,8.146549201772284,0.0
122,,,0.0003137449992746,28.75,77.05,0.5506945206059353,-0.434291617737876,"{""type"":""Point"",""coordinates"":[77.05,28.749999999999993]}",0.7013370546768382,2.23856287508641,7.820118806250712,0.0
123,,,0.0003571118350569,28.75,77.2,0.5694916533099282,-0.427299701505237,"{""type"":""Point"",""coordinates"":[77.2,28.750000000000007]}",0.7119731582694253,2.2145007708088262,5.959868423508379,0.0
124,,,0.0003248337534914,28.75,77.35,0.6200677573680877,-0.4139991237057579,"{""type"":""Point"",""coordinates"":[77.35,28.75]}",0.7455731340094177,2.159491533210914,3.5508941630742674,0.0
125,,,0.0003317600764384,28.75,77.5,0.6481510500113171,-0.4127668917179108,"{""type"":""Point"",""coordinates"":[77.5,28.75]}",0.7684245509672621,2.1378627484948387,3.2674417215957794,0.0
126,,,0.0001800350891596,28.9,74.5,0.1046353571944765,-0.2165022432804108,"{""type"":""Point"",""coordinates"":[74.5,28.899999999999995]}",0.24046159635306813,2.6913947413007095,8.11533391078623,0.0
127,,,0.000189432449859,28.9,74.65,0.102743606434928,-0.2021871255503759,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.899999999999995]}",0.22679480241305983,2.671437601225325,12.172536363608561,0.0
128,,,0.0001925668259397,28.9,74.8,0.1096053143342336,-0.1803982529375288,"{""type"":""Point"",""coordinates"":[74.8,28.899999999999995]}",0.21108494639177558,2.595622533649087,14.993375792979522,0.0
129,,,0.0002081778132895,28.9,74.95,0.114572219716178,-0.1808373669783275,"{""type"":""Point"",""coordinates"":[74.95,28.899999999999995]}",0.2140769647261154,2.576857958683549,17.647347078564426,0.0
130,,,0.0002061484671122,28.9,75.1,0.1037554336918725,-0.1833415038055844,"{""type"":""Point"",""coordinates"":[75.1,28.899999999999995]}",0.21066394337494412,2.626613924709801,18.862300462393502,0.0
131,,,0.0002406857944198,28.9,75.25,0.0671930015087127,-0.1608120712969038,"{""type"":""Point"",""coordinates"":[75.25,28.899999999999995]}",0.17428546045654622,2.7458059691394294,17.223281540397856,0.0
132,,,0.0002240080629893,28.9,75.4,0.042024137576421,-0.1535655028290218,"{""type"":""Point"",""coordinates"":[75.4,28.899999999999995]}",0.1592117828496756,2.8744762786736135,13.022623244759348,0.0
133,,,0.0002204441724998,28.9,75.55,0.0163829293515947,-0.115184222989612,"{""type"":""Point"",""coordinates"":[75.55,28.899999999999995]}",0.11634348112318114,3.0003078930290705,7.763546645872363,0.0
134,,,0.0002504266216435,28.9,75.7,0.0309462567170461,-0.096512551440133,"{""type"":""Point"",""coordinates"":[75.7,28.899999999999995]}",0.1013525697270752,2.8313048286987135,3.141042040161971,0.0
135,,,0.0002781589875087,28.9,75.85,0.0385675132274628,-0.1064056720998552,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.899999999999995]}",0.11317959238119044,2.7938634017967927,2.7975108878037407,0.0
136,,,0.0002720184102803,28.9,76.0,0.0506945206059349,-0.1641283147864871,"{""type"":""Point"",""coordinates"":[76.0,28.899999999999995]}",0.1717790386924952,2.842017083565909,1.8584887177652927,0.0
137,,,0.0002449594523085,28.9,76.15,0.1092116375764211,-0.2576568928029802,"{""type"":""Point"",""coordinates"":[76.15,28.899999999999995]}",0.27984684416839506,2.740684087267296,2.9693615539073925,0.0
138,,,0.0002454341545491,28.9,76.3,0.1769806669818031,-0.2841444551944733,"{""type"":""Point"",""coordinates"":[76.3,28.899999999999995]}",0.3347539811609235,2.584537621072305,4.386330158298101,0.0
139,,,0.0002748274962453,28.9,76.45,0.3459035999245113,-0.3644436630937788,"{""type"":""Point"",""coordinates"":[76.45,28.899999999999995]}",0.5024624204952527,2.3822885655300876,5.9312191710576485,0.0
140,,,0.0002839955134096,28.9,76.6,0.415208680762185,-0.3977298637231191,"{""type"":""Point"",""coordinates"":[76.6,28.899999999999995]}",0.5749672104368082,2.3346970172119796,8.497277250735637,0.0
