system:index,date,mean,name,.geo
20240519T111426_20240521T010550_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T111426_20240521T010550_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T111426_20240521T010550_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T111426_20240521T010550_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T125556_20240521T024544_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T125556_20240521T024544_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T125556_20240521T024544_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T125556_20240521T024544_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T125556_20240521T024544_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T143726_20240521T042545_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T143726_20240521T042545_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T143726_20240521T042545_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T143726_20240521T042545_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T143726_20240521T042545_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T161856_20240521T060547_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T161856_20240521T060547_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T161856_20240521T060547_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T161856_20240521T060547_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T161856_20240521T060547_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T180026_20240521T074550_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240519T180026_20240521T074550_1,2024-05-19,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240519T180026_20240521T074550_2,2024-05-19,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240519T180026_20240521T074550_3,2024-05-19,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240519T180026_20240521T074550_4,2024-05-19,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240519T194156_20240521T092553_0,2024-05-19,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
